	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)
VARIABLES	lsalary_avg	lsalary_avg	lsalary_avg	lsalary_avg	D.lsalary_avg	D.lsalary_avg	D.lsalary_avg	lsalary_avg	lsalary_avg	lsalary_avg	lsalary_avg	D.lsalary_avg	D.lsalary_avg	D.lsalary_avg	lsalary_avg	lsalary_avg	lsalary_avg	lsalary_avg	D.lsalary_avg	D.lsalary_avg	D.lsalary_avg	lsalary_avg	lsalary_avg	lsalary_avg	lsalary_avg	D.lsalary_avg	D.lsalary_avg	D.lsalary_avg	lsalary_avg	lsalary_avg	lsalary_avg	lsalary_avg	D.lsalary_avg	D.lsalary_avg	D.lsalary_avg	lsalary_avg	lsalary_avg	lsalary_avg	lsalary_avg	D.lsalary_avg	D.lsalary_avg	D.lsalary_avg
																																										
															(0.0341)	(0.0441)	(0.0369)	(0.0405)	(0.0172)	(0.0217)	(0.0161)															(0.0341)	(0.0441)	(0.0369)	(0.0405)	(0.0172)	(0.0217)	(0.0161)
1.change_post															-0.0824**	-0.0824**	-0.0152	-0.0152	-0.0149	-0.0149*	-0.0149															-0.0824**	-0.0824**	-0.0152	-0.0152	-0.0149	-0.0149*	-0.0149
															(0.0387)	(0.0382)	(0.0420)	(0.0335)	(0.0126)	(0.00851)	(0.0117)															(0.0387)	(0.0382)	(0.0420)	(0.0335)	(0.0126)	(0.00851)	(0.0117)
0b.change_pre#co.jewish_share_old															0	0	0	0	0	0	0															0	0	0	0	0	0	0
															(0)	(0)	(0)	(0)	(0)	(0)	(0)															(0)	(0)	(0)	(0)	(0)	(0)	(0)
1.change_pre#c.jewish_share_old															0.178**	0.178*	0.113	0.113	0.0373	0.0373	0.0373															0.178**	0.178*	0.113	0.113	0.0373	0.0373	0.0373
															(0.0703)	(0.0915)	(0.0718)	(0.0873)	(0.0326)	(0.0297)	(0.0275)															(0.0703)	(0.0915)	(0.0718)	(0.0873)	(0.0326)	(0.0297)	(0.0275)
0b.change_post#co.jewish_share_old															0	0	0	0	0	0	0															0	0	0	0	0	0	0
															(0)	(0)	(0)	(0)	(0)	(0)	(0)															(0)	(0)	(0)	(0)	(0)	(0)	(0)
1.change_post#c.jewish_share_old															0.111	0.111	0.0360	0.0360	0.0453*	0.0453***	0.0453**															0.111	0.111	0.0360	0.0360	0.0453*	0.0453***	0.0453**
															(0.0835)	(0.0962)	(0.0847)	(0.0960)	(0.0255)	(0.0136)	(0.0222)															(0.0835)	(0.0962)	(0.0847)	(0.0960)	(0.0255)	(0.0136)	(0.0222)
Constant	6.885***	6.885***	7.095***	7.095***	0.519***	0.519***	0.519***	6.899***	6.899***	7.122***	7.122***	0.528***	0.528***	0.528***	6.882***	6.882***	7.092***	7.092***	0.519***	0.519***	0.519***	6.885***	6.885***	7.095***	7.095***	0.519***	0.519***	0.519***	6.899***	6.899***	7.122***	7.122***	0.528***	0.528***	0.528***	6.882***	6.882***	7.092***	7.092***	0.519***	0.519***	0.519***
	(0.179)	(0.172)	(0.272)	(0.295)	(0.0631)	(0.0995)	(0.0551)	(0.178)	(0.171)	(0.267)	(0.284)	(0.0631)	(0.103)	(0.0553)	(0.179)	(0.172)	(0.272)	(0.294)	(0.0632)	(0.0990)	(0.0551)	(0.179)	(0.172)	(0.272)	(0.295)	(0.0631)	(0.0995)	(0.0551)	(0.178)	(0.171)	(0.267)	(0.284)	(0.0631)	(0.103)	(0.0553)	(0.179)	(0.172)	(0.272)	(0.294)	(0.0632)	(0.0990)	(0.0551)
																																										
Observations	3,986	3,986	2,209	2,209	3,768	3,768	3,768	3,986	3,986	2,209	2,209	3,768	3,768	3,768	3,986	3,986	2,209	2,209	3,768	3,768	3,768	3,986	3,986	2,209	2,209	3,768	3,768	3,768	3,986	3,986	2,209	2,209	3,768	3,768	3,768	3,986	3,986	2,209	2,209	3,768	3,768	3,768
R-squared	0.405	0.405	0.369	0.369	0.365	0.365	0.365	0.408	0.408	0.375	0.375	0.366	0.366	0.366	0.405	0.405	0.370	0.370	0.365	0.365	0.365	0.405	0.405	0.369	0.369	0.365	0.365	0.365	0.408	0.408	0.375	0.375	0.366	0.366	0.366	0.405	0.405	0.370	0.370	0.365	0.365	0.365
model	level	level	level	level	difference	difference	difference	level	level	level	level	difference	difference	difference	level	level	level	level	difference	difference	difference	level	level	level	level	difference	difference	difference	level	level	level	level	difference	difference	difference	level	level	level	level	difference	difference	difference
righthand	changer	changer	changer	changer	changer	changer	changer	1898	1898	1898	1898	1898	1898	1898	prepost	prepost	prepost	prepost	prepost	prepost	prepost	changer	changer	changer	changer	changer	changer	changer	1898	1898	1898	1898	1898	1898	1898	prepost	prepost	prepost	prepost	prepost	prepost	prepost
sampleused	last year	last year	ly and has changer	ly and has changer	whole	whole	whole	last year	last year	ly and has changer	ly and has changer	whole	whole	whole	last year	last year	ly and has changer	ly and has changer	whole	whole	whole	last year	last year	ly and has changer	ly and has changer	whole	whole	whole	last year	last year	ly and has changer	ly and has changer	whole	whole	whole	last year	last year	ly and has changer	ly and has changer	whole	whole	whole
serror	rob	vce(cluster workplace_broad	rob	vce(cluster workplace_broad	rob	vce(cluster workplace_broad	vce(cluster idmaster	rob	vce(cluster workplace_broad	rob	vce(cluster workplace_broad	rob	vce(cluster workplace_broad	vce(cluster idmaster	rob	vce(cluster workplace_broad	rob	vce(cluster workplace_broad	rob	vce(cluster workplace_broad	vce(cluster idmaster	rob	vce(cluster workplace_broad	rob	vce(cluster workplace_broad	rob	vce(cluster workplace_broad	vce(cluster idmaster	rob	vce(cluster workplace_broad	rob	vce(cluster workplace_broad	rob	vce(cluster workplace_broad	vce(cluster idmaster	rob	vce(cluster workplace_broad	rob	vce(cluster workplace_broad	rob	vce(cluster workplace_broad	vce(cluster idmaster
)																																										
Robust standard errors in parentheses																																										
*** p<0.01, ** p<0.05, * p<0.1																																										
