sorszam,n1
1718,Müllender
1719,Müller
1720,Mündl
1721,Münz
1722,Nagv
1723,Nagy
1724,Narancsik
1725,Narantsik
1726,Naszádi
1727,Navratil
1728,Nelhübel
1729,Nemesszeghy
1730,Nesztor
1731,Neu
1732,Neubauer
1733,Neuberg
1734,Neuhauser
1735,Neumann
1736,Nevelics
1737,Nevelits
1738,Ney
1739,Nicora
1740,Niederkirchner
1741,Niedzivulszky
1742,Niessner
1743,Niesz
1744,Nieszner
1745,Nikoletti
1746,Nirschy
1747,Nisponszky
1748,Nizsnánszky
1749,Noel
1750,Noszlopi
1751,Noszlopy
1752,Novak
1753,Novaky
1754,Novelly
1755,Novotni
1756,Novotny
1757,Novák
1758,Nováky
1759,Noé
1760,Noél
1761,Nyerges
1762,Nyiri
1763,Nyiry
1764,Nyirő
1765,Nyitrai
1766,Nyáry
1767,Nyéki
1768,Nád
1769,Nádas
1770,Nádaskay
1771,Nádory
1772,Nékám
1773,Német
1774,Németh
1775,Némethy
1776,Nők
1777,Oberle
1778,Obermayer
1779,Ocskay
1780,Odor
1781,Odry
1782,Ohler
1783,Ohlhauser
1784,Olicsek
1785,Oláh
1786,Onhaiser
1787,Onhauser
1788,Opitz
1789,Oppenheim
1790,Oravecz
1791,Orbanitz
1792,Orbán
1793,Orczy
1794,Orendács
1795,Orosz
1796,Oroszlán
1797,Ország
1798,Orágffy
1799,Osapay
1800,Ostián
1801,Ostyáni
1802,Osváth
1803,Oszlik
1804,Oszoli
1805,Osztermann
1806,Osztian
1807,Osztoits
1808,Ozorai
1809,Paczona
1810,Pados
1811,Pajor
1812,Pajzs
1813,Paksi
1814,Pallér
1815,Palotai
1816,Pandel
1817,Pandics
1818,Pandur
1819,Pandurovics
1820,Pandurovits
1821,Pandúr
1822,Pankuch
1823,Panovicz
1824,Panovitz
1825,Panyi
1826,Pap
1827,Papp
1828,Papperth
1829,Papperül
1830,Parsche
1831,Pascu
1832,Pataki
1833,Pató
1834,Pauer
1835,Paulay
1836,Paulikovics
1837,Paulikovits
1838,Paulovits
1839,Pauly
1840,Pavalacs
1841,Payer
1842,Payper
1843,Peckl
1844,Pecsics
1845,Pecsis
1846,Peinits
1847,Pek
1848,Pelczer
1849,Peller
1850,Perger
1851,Pertik
1852,Peschky
1853,Peskó
1854,Pesthy
1855,Pesti
1856,Petheő
1857,Petretz
1858,Petrik
1859,Petrovics
1860,Petrovits
1861,Petruska
1862,Petrás
1863,Petrássy
1864,Petrásy
1865,Petró
1866,Petróczy
1867,Pettykó
1868,Pettykő
1869,Petzrik
1870,Pető
1871,Pfeiffer
1872,Philipp
1873,Pichelmayer
1874,Pichler
1875,Piday
1876,Pigniczki
1877,Pikler
1878,Pikószky
1879,Piller
1880,Pillér
1881,Pinke
1882,Pinsker
1883,Pintér
1884,Piperkovics
1885,Piperkovits
1886,Pirger
1887,Piros
1888,Pirovits
1889,Pischoff
1890,Piszker
1891,Piszlinger
1892,Pitlik
1893,Placht
1894,Plachy
1895,Planer
1896,Platskó
1897,Platthy
1898,Plech
1899,Plichta
1900,Plininger
1901,Pluchár
1902,Pláner
1903,Pobuda
1904,Podluzsánszky
1905,Podmanitzky
1906,Pogány
1907,Pohl
1908,Pok
1909,Pokieser
1910,Pokieszer
1911,Pokomándy
1912,Pokorny
1913,Polereczky
1914,Poleretzky
1915,Polgár
1916,Pollermann
1917,Polányi
1918,Pongrácz
1919,Popelka
1920,Poppel
1921,Porpáczy
1922,Posgay
1923,Poszpischl
1924,Posztobányi
1925,Pottornyay
1926,Pozna
1927,Pozsgai
1928,Pozsgay
1929,Poór
1930,Prajmayer
1931,Prasszer
1932,Preisich
1933,Preisz
1934,Preuszner
1935,Pribil
1936,Pribék
1937,Prickelmayer
1938,Prikelmayer
1939,Prikk
1940,Pritz
1941,Prochnov
1942,Prohászka
1943,Prokesch
1944,Prokopp
1945,Protzer
1946,Prónay
1947,Pröckl
1948,Prückler
1949,Puchwald
1950,Pukkel
1951,Pulay
1952,Puntigám
1953,Purebl
1954,Purjesz
1955,Purtzl
1956,Putz
1957,Pádár
1958,Páhn
1959,Pákay
1960,Pákh
1961,Pál
1962,Pálffy
1963,Pálfi
1964,Pálföldy
1965,Pálka
1966,Pálmay
1967,Pálmán
1968,Pálos
1969,Pálovics
1970,Pálya
1971,Pápa
1972,Pápai
1973,Pápay
1974,Pártzer
1975,Pártényi
1976,Pásztory
1977,Pátkai
1978,Pázmán
1979,Péchy
1980,Pécsei
1981,Pédery
1982,Pék
1983,Pékli
1984,Pénzes
1985,Péter
1986,Pócza
1987,Póhl
1988,Pólencz
1989,Pólya
1990,Pólyák
1991,Pózna
1992,Pózner
1993,Pöcze
1994,Pörje
1995,Púk
1996,Pőcze
1997,Pőzel
1998,Quaiszer
1999,Quancz
2000,Rabsch
2001,Radics
2002,Radnai
2003,Radványi
2004,Radó
2005,Ragályi
2006,Raisz
2007,Rajháti
2008,Rajháty
2009,Rajtuk
2010,Raksányi
2011,Rakusz
2012,Ramascder
2013,Ramaseder
2014,Ramaszéder
2015,Ramhab
2016,Rasovszki
2017,Rasovszky
2018,Ratkovszky
2019,Rausz
2020,Raáb
2021,Redl
2022,Rehák
2023,Reichardt
2024,Reichel
2025,Reichl
2026,Reinboth
2027,Reinbotli
2028,Reiner
2029,Reinhardt
2030,Reintz
2031,Reisz
2032,Reisz-Guttay
2033,Reiszberger
2034,Reiter
2035,Reitszam
2036,Reitter
2037,Reitzer
2038,Remete
2039,Reminiczky
2040,Renkei
2041,Renn
2042,Richnavszky
2043,Richnovszky
2044,Richter
2045,Riegler
2046,Rill
2047,Rimanóczy
2048,Rimár
2049,Ripka
2050,Rippert
2051,Riskó
2052,Risztics
2053,Ritoók
2054,Ritschel
2055,Ritschl
2056,Rodek
2057,Rogosits
2058,Rokken
2059,Rokonstein
2060,Rokszer
2061,Roller
2062,Rominsky
2063,Rominszki
2064,Romsits
2065,Romy
2066,Ronchi
2067,Rosenberger
2068,Rosenfeld
2069,Rosmanith
2070,Ross
2071,Rosskopf
2072,Rost
2073,Rosta
2074,Rostagni
2075,Roth
2076,Rotter
2077,Rottmayer
2078,Rozant
2079,Rozgonyi
2080,Rozmanith
2081,Rozsa
2082,Rozsnyó
2083,Rozsonics
2084,Rozsovits
2085,Rozsár
2086,Roósz
2087,Roóz
2088,Rubis
2089,Rumbach
2090,Rumbacli
2091,Rupp
2092,Ruppert
2093,Rupánovits
2094,Ruszék
2095,Ruthner
2096,Ruzsovits
2097,Rzepeczky
2098,Rába
2099,Rábai
2100,Rácz
2101,Rákosi
2102,Rákóczy
2103,Ránits
2104,Rátai
2105,Rátonyi
2106,Rátz
2107,Rátái
2108,Ré
2109,Récsei
2110,Rédi
2111,Rédl
2112,Régeni
2113,Régi
2114,Rényi
2115,Répa
2116,Rétesi
2117,Réthy
2118,Rétháti
2119,Rétyi
2120,Révai
2121,Révész
2122,Rézi
2123,Ríeger
2124,Róna
2125,Rónai
2126,Rónay
2127,Róth
2128,Rózant
2129,Rózay
2130,Rózsa
2131,Rózsai
2132,Rózsavölgyi
2133,Rózsás
2134,Rüll
2135,Rőhri
2136,Rőzsényi
2137,Safranek
2138,Sajó
2139,Salamon
2140,Salgó
2141,Saly
2142,Sarlós
2143,Sarudy
2144,Sass
2145,Sauerland
2146,Sauersitz
2147,Sax
2148,Saáry
2149,Saíranek
2150,Scerbovszky
2151,Schaffer
2152,Schaffhauser
2153,Schaffner
2154,Schara
2155,Schaschek
2156,Schauer
2157,Scheder
2158,Scheiber
2159,Scheiter
2160,Schenadek
2161,Scherbaum
2162,Schermann
2163,Schey
2164,Schiebe
2165,Schiebel
2166,Schill
2167,Schiller
2168,Schilling
2169,Schimert
2170,Schimkó
2171,Schindelmann
2172,Schindler
2173,Schleitz
2174,Schlosser
2175,Schmaderer
2176,Schmelhegger
2177,Schmellhegger
2178,Schmelovszky
2179,Schmid
2180,Schmidl
2181,Schmidt
2182,Schmiedinger
2183,Schmiilt
2184,Schneller
2185,Schnierer
2186,Schober
2187,Schramek
2188,Schreiber
2189,Schroll
2190,Schrott
2191,Schröder
2192,Schrőder
2193,Schubert
2194,Schuchtár
2195,Schuler
2196,Schuller
2197,Schusbeck
2198,Schwartz
2199,Schwarz
2200,Schwendtner
2201,Scháffer
2202,Schöberl
2203,Schödl
2204,Schön
2205,Schönberger
2206,Schönhein
2207,Schöpflin
2208,Schülheck
2209,Schütz
2210,Schőberl
2211,Scserbovszky
2212,Sebeit
2213,Sebestyén
2214,Sebák
2215,Sebő
2216,Sebők
2217,Seeber
2218,Seemann
2219,Sehr
2220,Seide
2221,Sellei
2222,Selye
2223,Semsey
2224,Sepsi
2225,Seregi
2226,Seres
2227,Serly
2228,Sidó
2229,Sigl
2230,Sik
2231,Sikety
2232,Siklós
2233,Sikonya
2234,Sillye
2235,Simkó
2236,Simon
2237,Simonchich
2238,Simonffy
2239,Simonics
2240,Simonovits
2241,Simoray
2242,Simsa
2243,Sindelás
2244,Sindler
2245,Sipos
2246,Siposs
2247,Sipöcz
2248,Sipőcz
2249,Sipőtz
2250,Siráki
2251,Siráky
2252,Skhreiber
2253,Skriván
2254,Skultéti
2255,Slunka
2256,Smodics
2257,Softics
2258,Sohr
2259,Solty
2260,Somlyai
2261,Somló
2262,Somodi
2263,Somogyi
2264,Somorjai
2265,Sontagh
2266,Sorbán
2267,Soó
2268,Spannberger
2269,Spath
2270,Spielenberg
2271,Spilenberg
2272,Spillenberg
2273,Springmann
2274,Spánitz
2275,Spányi
2276,Spáth
2277,Stadler
2278,Stahl
2279,Stancz
2280,Stankovics
2281,Stankovits
2282,Stark
2283,Stefanovits
2284,Stefánovits
2285,Steger
2286,Stein
2287,Steindl
2288,Stephani
2289,Stephány
2290,Stepánek
2291,Stern
2292,Stettler
2293,Stettner
2294,Stichleutner
2295,Stifter
2296,Stilfried
2297,Stipanics
2298,Stipics
2299,Stoffer
2300,Stoflitz
2301,Stohansl
2302,Stojanovits
2303,Stokovszky
2304,Stolnicki
2305,Stomm
2306,Strecke
2307,Strempel
2308,Streér
2309,Strigentz
2310,Strobel
2311,Strobl
2312,Stréer
2313,Stróbl
2314,Strósz
2315,Ströszner
2316,Stuchlich
2317,Stuchlicli
2318,Stuhl
2319,Sturza
2320,Stáhly
2321,Stéger
2322,Stéli
2323,Stühmer
2324,Subsilvány
2325,Sugár
2326,Sukola
2327,Sultisz
2328,Sulyok
2329,Sumanovácz
2330,Supka
2331,Svetschin
2332,Svéda
2333,Swoboda
2334,SzHorváth
2335,Szabacsek
2336,Szabadi
2337,Szabady
2338,Szabiár
2339,Szabó
2340,Szabóky
2341,Szadai
2342,Szaday
2343,Szadovszky
2344,Szaiff
2345,Szajbely
2346,Szakacsics
2347,Szakmány
2348,Szakács
2349,Szakái
2350,Szakál
2351,Szalai
2352,Szalay
2353,Szalmási
2354,Szalmássy
2355,Szalmásy
2356,Szalontay
2357,Szalonás
2358,Szaniszló
2359,Szaszovszky
2360,Szecsei
2361,Szedlacsek
2362,Szedlácskó
2363,Szedmáky
2364,Szegő
2365,Szehrlaut
2366,Szeiff
2367,Szeitz
2368,Szekeres
2369,Szekér
2370,Szelecsényi
2371,Szeles
2372,Szelmayer
2373,Szemenyei
2374,Szemenyey
2375,Szemere
2376,Szemerédy
2377,Szemes
2378,Szemethi
2379,Szemethy
2380,Szemián
2381,Szemler
2382,Szende
2383,Szendi
2384,Szendy
2385,Szenessy
2386,Szeniczey
2387,Szenkovich
2388,Szenkovits
2389,Szente
2390,Szentes
2391,Szentesi
2392,Szentessy
2393,Szentgyörgyi
2394,Szentiványi
2395,Szentkeresztfi
2396,Szentkirályi
2397,Szentléleki
2398,Szentmártonyi
2399,Szentpéteri
2400,Szentpétery
2401,Szepessy
2402,Szer
2403,Szerafusz
2404,Szerb
2405,Szerdahelyi
2406,Szerezla
2407,Szervisz
2408,Szervó
2409,Szidon
2410,Szigethy
2411,Szigeti
2412,Szigriszt
2413,Sziklai
2414,Szilberleitner
2415,Szilvássy
2416,Szilvásy
2417,Szily
2418,Sziládi
2419,Szilágyi
2420,Szimély
2421,Szintai
2422,Szinte
2423,Szirmai
2424,Szirmay
2425,Szivitál
2426,Szivós
2427,Szkalka
2428,Szlatiny
2429,Szlavnits
2430,Szlobodnik
2431,Szlovák
2432,Szmodics
2433,Szmodits
2434,Szmrekovszky
2435,Szoboczky
2436,Szokol
2437,Szokola
2438,Szokolay
2439,Szokolik
2440,Szombathely
2441,Szombathelyi
2442,Szombathy
2443,Szomor
2444,Szondy
2445,Szontagh
2446,Szováthy
2447,Szoyka
2448,Sztahora
2449,Sztankovits
2450,Sztarik
2451,Sztarill
2452,Sztraka
2453,Sztrenyák
2454,Szubotics
2455,Szuhaj
2456,Szuhay
2457,Szultos
2458,Szurmák
2459,Szvoboda
2460,Szájbély
2461,Szántay
2462,Szánthó
2463,Szántó
2464,Száraz
2465,Szász
2466,Száva
2467,Szécsenyi
2468,Szécsi
2469,Szécsy
2470,Szécsényi
2471,Székely
2472,Székács
2473,Széles
2474,Széll
2475,Szép
2476,Szíics
2477,Szíjgyártó
2478,Szíjjártó
2479,Színák
2480,Szívós
2481,Szóka
2482,Szöllösy
2483,Szöllősi
2484,Szöts
2485,Szücs
2486,Szüllő
2487,Szüsz
2488,Szőgyi
2489,Szőke
2490,Szőllősi
2491,Szőllősy
2492,Szőnyi
2493,Szőts
2494,Szűcs
2495,Sábián
2496,Sáfár
2497,Sáfáry
2498,Sághy
2499,Sági
2500,Ságody
2501,Sámson
2502,Sándor
2503,Sánta
2504,Sántha
2505,Sári
2506,Sárközy
2507,Sárossy
2508,Sárváry
2509,Sényi
2510,Sík
2511,Sípos
2512,Sóos
2513,Sördén
2514,Sötér
2515,Söveggyártó
2516,Sümeghy
2517,Sőtér
2518,Tabajdi
2519,Tabajdy
2520,Tajthy
2521,Takács
2522,Takáts
2523,Tallum
2524,Tamasek
2525,Tamási
2526,Tamáskovich
2527,Tamáskovits
2528,Tamásy
2529,Tanos
2530,Tar
2531,Tarnóczy
2532,Tary
2533,Tassi
2534,Tatai
2535,Tatár
2536,Tauschler
2537,Tauszk
2538,Teasdale
2539,Tegzes
2540,Telegdy
2541,Teleky
2542,Tencz
2543,Tenk
2544,Tenke
2545,Teplitzky
2546,Terletter
2547,Tertsch
2548,Terényi
2549,Thain
2550,Theil
2551,Theodorovits
2552,Thierry
2553,Thirring
2554,Thomka
2555,Thury
2556,Tibiassi
2557,Tibiássi
2558,Tichler
2559,Till
2560,Timár
2561,Tippner
2562,Tiringer
2563,Tirschl
2564,Titzer
2565,Tkálcsics
2566,Toborffy
2567,Tokody
2568,Toldi
2569,Toldy
2570,Tolnai
2571,Tolnay
2572,Tomanó
2573,Tomor
2574,Tompa
2575,Tompó
2576,Toperczer
2577,Toporai
2578,Toporczi
2579,Tordai
2580,Torday
2581,Tordy
2582,Torgyik
2583,Torma
2584,Torna
2585,Tornyos
2586,Totth
2587,Trapp
2588,Trautmann
2589,Trenkó
2590,Trenyák
2591,Trágy
2592,Trágyi
2593,Tröster
2594,Tuboly
2595,Tujner
2596,Tunyogi
2597,Tupicza
2598,Turchányi
2599,Turcsányi
2600,Turányi
2601,Tábory
2602,Tájber
2603,Tálassy
2604,Téglás
2605,Tézli
2606,Tóth
2607,Tóthfalussy
2608,Tótth
2609,Töreky
2610,Törnek
2611,Török
2612,Törő
2613,Tövis
2614,Tüttő
2615,Tőkés
2616,Tőkési
2617,Ubrik
2618,Udvardy
2619,Udvary
2620,Uhman
2621,Uhmann
2622,Uiás
2623,Ujbányi
2624,Ujfalvi
2625,Ullerich
2626,Ullmann
2627,Ulrik
2628,Undi
2629,Unger
2630,Unterberg
2631,Unyi
2632,Uray
2633,Urbanovics
2634,Urbán
2635,Urik
2636,Urs
2637,Ursics
2638,Utry
2639,Uzsák
2640,Vadas
2641,Vadkerti
2642,Vadkerty
2643,Vadon
2644,Vadász
2645,Vagyák
2646,Vajda
2647,Vajdafy
2648,Vajna
2649,Vakarcs
2650,Valentini
2651,Valovits
2652,Valpatits
2653,Valter
2654,Valtinyi
2655,Való
2656,Vancsura
2657,Vanger
2658,Vaniss
2659,Vankovics
2660,Varga
2661,Vargha
2662,Varjas
2663,Varjú
2664,Varró
2665,Varsányi
2666,Vas
2667,Vaskó
2668,Vass
2669,Vastag
2670,Vasvári
2671,Vasyilievits
2672,Vaszary
2673,Vaszilievits
2674,Vaszy
2675,Vatai
2676,Vati
2677,Vavró
2678,Vecsei
2679,Vecsey
2680,Vellay
2681,Venczell
2682,Vendéghegyi
2683,Veres
2684,Veress
2685,Vermes
2686,Vesetcky
2687,Vesetzky
2688,Veszély
2689,Vető
2690,Vezdin
2691,Vezér
2692,Viasz
2693,Viczko
2694,Vida
2695,Vidos
2696,Vidéky
2697,Viertl
2698,Vigadi
2699,Vihar
2700,Villoi
2701,Villói
2702,Világhy
2703,Vimental
2704,Vimmer
2705,Vincze
2706,Viola
2707,Virnhardt
2708,Virnhart
2709,Virág
2710,Virágh
2711,Visnya
2712,Visontai
2713,Viszt
2714,Vita
2715,Vizer
2716,Vizi
2717,Vojcsik
2718,Vojtek
2719,Vollmann
2720,Vonyek
2721,Vosits
2722,Vragassy
2723,Vrasich
2724,Vukassinovits
2725,Váczi
2726,Váczy
2727,Vági
2728,Vágó
2729,Váli
2730,Vámos
2731,Ványai
2732,Ványi
2733,Váradi
2734,Várady
2735,Váradyné
2736,Várkonyi
2737,Váry
2738,Vázsonyi
2739,Vécsei
2740,Vécsey
2741,Vég
2742,Végh
2743,Vékony
2744,Véssei
2745,Vétek
2746,Vörös
2747,Wabrosch
2748,Waginger
2749,Wagner
2750,Wahrmann
2751,Waldinger
2752,Walter
2753,Walthern
2754,Waltz
2755,Wancsek
2756,Wanke
2757,Warga
2758,Watzek
2759,Watzke
2760,Wawra
2761,Weber
2762,Wehner
2763,Wehrmann
2764,Weichhardt
2765,Weichhart
2766,Weidinger
2767,Weiland
2768,Wein
2769,Weinber
2770,Weinek
2771,Weiner
2772,Weinszeisz
2773,Weinzierl
2774,Weisinger
2775,Weisz
2776,Wenczl
2777,Wendel
2778,Wenger
2779,Wenhardt
2780,Weninger
2781,Wenzl
2782,Wermer
2783,Werner
2784,Wester
2785,Wesztermayer
2786,Wiesner
2787,Wigh
2788,Wild
2789,Wildner
2790,Wilheim
2791,Willig
2792,Wimental
2793,Wimmer
2794,Windhager
2795,Windisch
2796,Winhart
2797,Winkler
2798,Winter
2799,Wintner
2800,Wippler
2801,Wirnhardt
2802,Wiskonsky
2803,Wiskousky
2804,Wiszt
2805,Witkovszky
2806,Wittenbarth
2807,Wittinger
2808,Wittkovszky
2809,Wittmann
2810,Wohl
2811,Wojtek
2812,Wolf
2813,Wolffarl
2814,Wolffart
2815,Wolfner
2816,Wolfram
2817,Wossala
2818,Wuch
2819,Wukassinovits
2820,Wurmb
2821,Wurmb.
2822,Wéber
2823,Wénesz
2824,Zabutsek
2825,Zachar
2826,Zachariás
2827,Zacharovits
2828,Zachár
2829,Zacska
2830,Zahler
2831,Zaitz
2832,Zajti
2833,Zandler
2834,Zaratin
2835,Zatopek
2836,Zboray
2837,Zeibig
2838,Zeiger
2839,Zeleny
2840,Zemán
2841,Ziegler
2842,Zielbauer
2843,Zielinski
2844,Ziffer
2845,Zilahy
2846,Zimmer
2847,Zimmermann
2848,Zimniermann
2849,Zimányi
2850,Zlinszky
2851,Zmeskall
2852,Znavovits
2853,Zofáhl
2854,Zoltán
2855,Zombory
2856,Zoványi
2857,Zsemlye
2858,Zsigmond
2859,Zsillé
2860,Zsinkó
2861,Zsitnyánszky
2862,Zsizsó
2863,Zsoldos
2864,Zsolnai
2865,Zsámboki
2866,Zuna
2867,Zurányi
2868,Zuzánszky
2869,Záborszky
2870,Záhorszky
2871,Zák
2872,Zámbó
2873,Zányi
2874,Závodszky
2875,Závonyi
2876,Zöldváry
2877,Prihoda
2878,Prihoda
2879,lllyefalvi
2880,pandurovits
2881,pán
2882,Adamek
2883,Ábrahám
2884,Ábrányi
2885,Ács
2886,Ádám
2887,Ádámy
2888,Ágoston
2889,Ágotay
2890,Állaga
2891,Ángyán
2892,Ányos
2893,Ári
2894,Árkay
2895,Árva
2896,Éberling
2897,Ébner
2898,Éder
2899,Édes
2900,Éles
2901,Éless
2902,Éliás
2903,Élő
2904,Érczhegyi
2905,Ész
2906,Évinger
2907,Ézsöl
2908,Író
2909,Ózdi
2910,Öhler
2911,Örsek
2912,Örsy
2913,Újhelyi
2914,Újvári
2915,Úrik
2916,ünger
2917,Őrsy
2918,Ősapay
