sorszam,n1,FNF
342,Bérényi,1
343,Bézsenyi,0
344,Bíró,13
345,Bódai,0
346,Bódis,0
347,Bódy,0
348,Bóka,8
349,Bödecs,0
350,Böhm,116
351,Böke,0
352,Bölcsházy,0
353,Bölcskei,0
354,Böröcz,0
355,Bőhm,116
356,Bősinger,3
357,Cavalloni,0
358,Cenner,0
359,Chobola,0
360,Chobota,0
361,Chyzer,0
362,Clauser,0
363,Crempeltz,0
364,Crempola,0
365,Csaba,0
366,Csabai,0
367,Csajka,0
368,Csanády,0
369,Csapiár,0
370,Csapiáros,0
371,Csaplovich,0
372,Csapláros,0
373,Csapó,0
374,Csatay,0
375,Csatáry,0
376,Csaudáry,0
377,Csefkó,2
378,Cseh,7
379,Cseke,0
380,Cselkó,0
381,Csendes,0
382,Csenteritz,0
383,Csepke,0
384,Csepreghy,0
385,Cser,0
386,Cserey,0
387,Cserhalmi,0
388,Csernovics,0
389,Cservenka,8
390,Csete,1
391,Csics,0
392,Csicsai,2
393,Csicsery,0
394,Csicsmanczay,0
395,Csides,0
396,Csik,3
397,Csikász,0
398,Csikós,0
399,Csiliéri,0
400,Csillag,0
401,Csilléry,0
402,Csiszlár,0
403,Csiszár,9
404,Csite,0
405,Csizmadia,10
406,Csizmazia,1
407,Csomay,0
408,Csongár,0
409,Csonka,4
410,Csontos,1
411,Csonták,0
412,Csorna,0
413,Csornai,0
414,Csukás,0
415,Csupor,1
416,Csákberky,0
417,Csáki,0
418,Csányi,0
419,Csármann,0
420,Császár,0
421,Csébi,0
422,Cséfai,0
423,Csóka,1
424,Csóry,6
425,Csögör,0
426,Csöppüs,0
427,Czagányi,0
428,Czaha,1
429,Czakó,1
430,Czapp,0
431,Czebe,0
432,Czeber,0
433,Czeisz,0
434,Czellaó,0
435,Czenner,0
436,Czibor,0
437,Cziczli,0
438,Cziegler,1
439,Czigány,22
440,Czike,0
441,Czimmermann,7
442,Czitrom,12
443,Czotter,0
444,Czvitkovics,1
445,Czvitkovits,5
446,Czárán,1
447,Czéber,0
448,Czéh,1
449,Dallos,2
450,Dancs,4
451,Dancsa,5
452,Danizy,0
453,Dankos,0
454,Dankovszky,0
455,Dankowsky,0
456,Danzer,0
457,Darabos,4
458,Darnay,0
459,Daruba,0
460,Daruvári,0
461,Darvas,1
462,Darvassy,0
463,Darvasy,0
464,Daunterer,0
465,Debreczeny,0
466,Debreczenyi,0
467,Debski,0
468,Decsy,0
469,Deme,0
470,Demeter,11
471,Demján,4
472,Demjén,0
473,Demkó,2
474,Demény,0
475,Dene,0
476,Denne,0
477,Detrich,0
478,Deutsch,1303
479,Devecis,0
480,Dezső,1
481,Deák,2
482,Dieballa,0
483,Dienes,4
484,Dimák,0
485,Dinda,6
486,Dingha,0
487,Dittrich,10
488,Diósi,0
489,Diószeghy,0
490,Diószegi,6
491,Dlauchy,1
492,Dobján,0
493,Dobos,0
494,Dobrai,0
495,Dobrossy,0
496,Dobrosy,0
497,Dobrovits,2
498,Dobrovolszky,1
499,Dobry,0
500,Dobrzyniecky,0
501,Dobrády,0
502,Dobó,0
503,Dodek,1
504,Doehner,0
505,Doktay,0
506,Dokuly,0
507,Domanyek,0
508,Domonkos,0
509,Domsa,0
510,Donáth,0
511,Dorogsághy,0
512,Drach,21
513,Dratsay,0
514,Drechsler,16
515,Drencsik,2
516,Drescher,0
517,Dressler,1
518,Dreszler,1
519,Dritomszky,0
520,Drágffy,0
521,Drégely,0
522,Duday,0
523,Dudái,0
524,Dudás,9
525,Duka,2
526,Dukovits,0
527,Dulcsán,0
528,Dull,0
529,Dulácska,0
530,Dura,0
531,Durucz,0
532,Dusárdy,0
533,Dzsálya,0
534,Dániel,1
535,Dénes,1
536,Déri,2
537,Dévai,0
538,Dévény,0
539,Dómján,0
540,Döchner,0
541,Dömsödi,0
542,Dömök,0
543,Dömötör,0
544,Dörflinger,0
545,Dürr,1
546,D’Ouvenou,0
547,Eberling,3
548,Eckenberg,0
549,Ecséry,0
550,Egerházy,0
551,Egressy,0
552,Egri,1
553,Egyed,0
554,Együd,0
555,Ehrlich,70
556,Eisenstock,1
557,Elbert,0
558,Eleméry,0
559,Elischer,1
560,Eller,0
561,Előd,0
562,Emerich,0
563,Emmer,0
564,Emmerich,0
565,Emmerling,1
566,Emperl,0
567,Emyei,0
568,Emőd,0
569,Enberger,0
570,Endrei,0
571,Endrey,0
572,Engel,271
573,Engelbach,0
574,Engelhardt,5
575,Engler,6
576,Englerth,0
577,Enyingi,0
578,Enyvvári,0
579,Eperjessy,0
580,Erczhegyi,0
581,Erdélyi,6
582,Erdész,0
583,Erdődy,0
584,Erdős,1
585,Erdősi,0
586,Erdőssi,0
587,Erdősí,0
588,Erhardt,6
589,Erményi,0
590,Ernyei,0
591,Ernőd,0
592,Erényi,0
593,Erős,1
594,Erőss,0
595,Eszláry,0
596,Esztergályos,0
597,Evva,0
598,Ewinger,0
599,Eördögh,3
600,Eőrsi,0
601,Eőry,0
602,Fa,5
603,Fadgyas,0
604,Fah,0
605,Faller,3
606,Faludy,0
607,Falvai,0
608,Fapp,0
609,Faragó,0
610,Farbinger,2
611,Farkas,9
612,Farnady,0
613,Fazekas,3
614,Fecske,0
615,Fegyveres,0
616,Fehér,6
617,Fehérvári,0
618,Fejes,2
619,Fejér,1
620,Fekete,6
621,Fekets,0
622,Feleki,0
623,Felter,1
624,Fent,0
625,Fenyves,1
626,Fenyő,0
627,Ferenc,0
628,Ferencz,2
629,Ferenczi,0
630,Ferenczy,0
631,Festetics,0
632,Feszeli,0
633,Feszely,0
634,Feszelyi,0
635,Feszi,0
636,Fetter,2
637,Fettick,0
638,Fiala,8
639,Filgóssy,0
640,Finta,1
641,Fischer,915
642,Fissinger,0
643,Flanyek,0
644,Fleischer,130
645,Fliegl,5
646,Fochler,0
647,Fock,0
648,Fodor,7
649,Fogarassy,0
650,Folkusházy,0
651,Forberger,2
652,Forisek,0
653,Forrai,0
654,Forster,3
655,Forstner,3
656,Fraenkel,17
657,Frank,95
658,Frankfurti,0
659,Franki,0
660,Frankl,101
661,Frankovits,0
662,Frecskay,0
663,Frenyó,0
664,Frey,13
665,Frick,1
666,Fridrich,22
667,Friebeisz,0
668,Friedmann,842
669,Friedrich,42
670,Frimel,0
671,Fritsch,5
672,Frivaldszky,0
673,Frágner,1
674,Fráter,1
675,Frólik,0
676,Fuchs,283
677,Funk,3
678,Furebl,0
679,Furka,6
680,Futó,0
681,Fábián,4
682,Fái,0
