2815,Wolfner,0
1297,Kovách,0
1848,Pelczer,0
2109,Récsei,48
174,Bernáth,0
2292,Stettler,0
2646,Vajda,732
2630,Unterberg,0
yb19121569,Bunzlau,0
677,Funk,0
1789,Oppenheim,0
1877,Pikler,0
799,Gutfreund,0
1954,Purjesz,0
2087,Roóz,0
2537,Tauszk,0
285,Bródy,0
alm19071160,Gansl,0
1721,Münz,1
1992,Pózner,0
984,Honig,0
2468,Szécsi,185
857,Hajnal,261
1435,Lampl,0
2240,Simonovits,0
yb19121527,Goldfeld,0
2750,Wahrmann,0
765,Goldner,0
171,Bergsmann,0
324,Bárdi,35
2830,Zahler,0
717,Garai,434
yb1912957,Hirschel,0
2790,Wilheim,0
2267,Soó,0
2827,Zacharovits,0
yb1912958,Czukermann,0
442,Czitrom,0
926,Herczeg,222
yb19092435,Grauer,0
674,Fráter,0
yb19092288,Bojnitzer,0
51,Arányi,82
905,Havas,699
804,Gyenes,115
yb1909868,Tuchler,0
2186,Schober,0
2409,Szidon,0
yb19091103,Bergler,0
2218,Seemann,0
yb19091378,Glöckner,0
2020,Raáb,0
yb19097,Faszler,0
693,Förstner,0
alm1904172,Hönigsfeld,0
alm1907632,Lobstein,0
280,Brust,0
yb19092628,Weingarten,0
927,Herczel,0
1290,Korányi,225
yb19121630,Smilovitz,0
2140,Salgó,286
1717,Mühlrad,0
yb19122447,Szanditz,0
266,Braunstein,0
yb1912668,Kleinberger,0
625,Fenyves,224
yb1912470,Kurzmann,0
2258,Sohr,0
yb1912566,Schöpkesz,0
281,Bruszt,0
916,Heisler,0
yb19121986,Blitz,0
yb19091049,Hilf,0
286,Brück,0
yb19121999,Schulmann,0
yb1909180,Füchsl,0
yb19092190,Farbenblum,0
2778,Wenger,0
2070,Ross,0
1561,Major,151
839,Gúth,0
728,Gaál,6
alm19041112,Preszburger,0
yb19121286,Kirnig,0
2501,Sámson,1
574,Engelhardt,0
270,Brett,0
1494,Lissauer,0
yb19091244,Gelb,0
yb19122032,Rosenspitz,0
1610,Max,0
yb1909957,Trebitscher,0
yb1909413,Mailender,0
1187,Keresztes,76
yb1912481,Bászsz,0
2037,Reitzer,0
945,Heuman,0
yb1909257,Rozenberg,1
104,Barna,414
2706,Viola,58
2800,Wippler,0
yb1909966,Grossz,0
2041,Renn,0
2844,Ziffer,0
623,Felter,0
yb19123180,Mantág,0
1759,Noé,0
1,Abelsberg,0
1890,Piszker,0
alm1907877,Hausbrunner,0
1411,Kürschner,0
1543,Löwinger,0
yb19091252,Lövinger,0
yb1909766,Kesztenbaum,0
alm1904922,Rosenstein,0
yb1912698,Grossmann,0
yb19092025,Kohn,0
yb19121621,Eckstein,0
yb19092458,Löwy,0
127,Baumgarten,0
1473,Lichtmann,0
yb19091217,Grünfeld,0
668,Friedmann,0
yb19121441,Reismann,0
1363,Kácz,0
yb19121971,Goldstein,3
2291,Stern,1
yb1909955,Diamant,0
yb1912811,Feuerstein,0
yb19121005,Spitz,0
yb19121515,Rosenzweig,0
yb19092290,Policzer,0
yb1909124,Schlesinger,0
yb19091880,Guttmann,0
alm1907517,Sonnenfeld,0
yb1909205,Herzfeld,0
yb1909662,Singer,0
yb19091229,Spitzer,1
alm1907843,Fried,0
773,Gottlieb,1
2068,Rosenfeld,0
alm19071134,Feuer,0
272,Breuer,0
478,Deutsch,0
1570,Mandel,0
alm1904283,Hartenstein,0
yb19091102,Weiszfeld,0
yb19091197,Grünhut,0
1544,Lőbl,0
yb19121669,Waldner,0
yb19123238,Buchwald,0
764,Goldberger,0
yb1909313,Fischbein,0
yb19091200,Weinberger,0
572,Engel,0
2902,Éliás,1
alm19041056,Hajduska,0
2139,Salamon,16
2810,Wohl,0
yb1912391,Kron,0
yb19121323,Grün,1
yb19091842,Katz,0
yb190918,Schönfeld,0
yb19091465,Goldmann,0
yb1909968,Neufeld,0
2775,Weisz,2
790,Groszmann,0
2198,Schwartz,0
170,Berger,1
2286,Stein,1
2771,Weiner,0
yb19122801,Ungár,0
yb1912326,Oesterreicher,0
1458,Lederer,1
alm1907953,Langfelder,0
2067,Rosenberger,0
yb19121449,Lövenstein,0
yb19121076,Moskovitz,0
yb19092524,Schwarcz,1
1734,Neuhauser,0
2199,Schwarz,0
1223,Klein,1
yb1909506,Hirschl,0
alm1907258,Fleischmann,0
alm1907543,Tausz,0
795,Grünwald,0
alm19041088,Hamburger,0
794,Grósz,0
789,Grosz,0
yb19123265,Steinberger,0
2204,Schön,0
2184,Schneller,0
287,Brüll,0
yb19122337,Pollák,6
958,Hirschler,0
2028,Reiner,0
2293,Stettner,0
1971,Pápa,10
957,Hirsch,0
yb1909118,Veisz,0
yb19121964,Reich,0
yb1912312,Lichtenstein,0
1162,Kaufmann,0
644,Fleischer,1
265,Braun,0
660,Frankl,0
yb19091276,Steiner,1
2158,Scheiber,0
207,Blum,0
1540,Löv,0
2205,Schönberger,0
2075,Roth,1
2127,Róth,1
yb1909965,Gross,0
1546,Lőwenstein,0
1541,Löwenstein,0
yb19121733,Herz,0
alm1907562,Reiser,0
alm1904458,Hecht,0
1735,Neumann,0
514,Drechsler,0
yb19121995,Flesch,0
yb1912357,Salzer,0
yb19091956,Schvarcz,0
yb19121311,Krausz,1
